Id,Clean_Text,Sentiment,Vader_Prediction
10651,remember cracking almond shells tastes love salt added perfect protein natural snack meals meal people like always forget eat ive got strategically placed make sure something gets day im studying writing prefer blue diamond dry roasted excessively salted almonds probably wont like like dont use salt except baking,1,1
2042,product great add egg water butter used oil never make waffles scratch,1,1
8669,got coffee per box ordered boxes great deal coffee great blendif anyone upset website issues trying buy shouldnt review product poorly product problemthe problem youre jealous didnt get great deal coffee grow kids coffee great buy amazoncom llc kcups keurigall coffee arrived packaged well new condition nothing wrong,1,1
1115,tried ocean fish tuna duck chicken variety food cat seems prefer taste duck chicken little better probably rotate health benefits hes gotten especially ocean fish tuna included softer coat less scratching biting shedding also food doesnt drink much water still goes potty alot feel good hes getting plenty fluids diet complaint brand give stars little pieces potato whole peas cat eats around ends wasteful dont like given price big deal minor inconvenience clean leftover bits feeding opposed washing empty bowl daily case wondering approximately whole pea pea size potato bits per,1,1
13903,old tomato based hot sauce imaginative take spice sauce works well anything hamburgers barbecue beans rice available grocer live coming soon order online vendor great product shipped promised arrived earthfriendly packagebottom line love sauce use time,1,1
11964,clearly states description pack got cannot find complain dont want return,0,1
11073,like chips even though little different chips used love reduced fat warned extremely crunchy crunchy turn volume tv hear im chewing taste quite good though like crunchy salty food probably order,1,1
3003,well packed broken understandable cookies tasty notes interesting friends really enjoyed thx,1,1
19772,happy baby beef stew much beef stew second ingredient behind water tomatoes evident taste product didnt seem even trace taste beef high tomato content stew acidic bit disappointed product,0,1
8116,light sweet oh good would describe tea first hotel complimentary breakfast loved much went amazon ordered day,1,1
3526,finally found hot cocoa keurig isnt sweet made cup day came mail first sip hooked hot cocoa drink,1,0
7880,purchased two liters looking oil put salads bread etc something strong flavor olive oil good cooking little flavor,0,1
16442,breakfast blend coffee many coffee producers breakfast blend also means strongest daggone brew make mentality well caffeine caffeine guy bit strong prefer caribous breakfast blend green mountain version entirely smooth bitterness enjoyable cup coffee think one tastes bit burnt like starbucks nice blends especially pumpkin spice awesome try see suits taste get pack first otherwise think way guys lot coffee wash,1,1
16297,favorite coffee keurig coffeemaker convenient get amazon cheaper running around stores trying find lowest price,1,1
12567,believe world divided two groups eat black licorice dont belong first group also find superior kidding kind ofim always looking black licorice cannot get enough find licorice europe superior found states gustafs licorice made uk specifically dont know comes huge heavy lb bag contains long list ingredients including beef gelatine okay thats gross also desiccated coconut whatever isthe licorice shiny like picture dull like tractor tire smells good nice pungent taste beef gelatin perhaps stuck together comes apart easily bit soft liking hopefully harden time despite disgusting addition beef gelatin licorice know gelatin hooves remind eat licorice uploaded picture show everyone mass licorice really looks dont stock partieswill order probably want company lie gelatin comes gustaf honest good,1,1
5253,normally purchase alreadygrown containers cat grass local pet store however last pots developed bugs wasnt sanitary bought seeds hirts grew insanely fast cats love taste ive already bought another pack replant cats finish batch,1,1
19394,havent purchased product wanted post misleadingcream tartar salt tartaric acid cream tartar used baking trying make mascarpone cheese need tartaric acid,0,0
16797,always somewhat soda aficionado since days pepsi dr pepper etc grandparents owned little corner grocery store id get try new sodas came really enjoyed switch soda something different taking juice putting carbonation almost vague way reminds sparkling grape juice drinks get around holidays dont drink wine good would definitely buy however sugar added part bit misleading label states grams per serving one serving per us diabetics probably drink low sugars like bonus high fructose corn syrup isnt good anyhow liked would buy keep around house days sugar lows didnt seem overpowering liked kiwiberry fan strawberry kiwi thought personally interesting soft drink really like infusion stuff days like dr pepper put cherry chocolate diet one year ago switch kind like personally prefer fruited flavored carbonated beverage anyhow say plain cola type flavored one thought change regular diet pepsi diet sierra mist used drinking would pick seen market someday con really think moment case bucks kinda steep economy living right sold individual easier pocket book pick one store see really enjoyed blends fruit flavor carbonation like mentioned really good something different would definitely try,1,1
8095,since able eat fat many things miss eating tortillas something ate alot really missed would never know fat free complaint tortillas stick together torn many would say big picture would rather torn tortilla tortilla plan reorder run,1,0
9924,ive heard bunch great things chia seeds love texture adds juices honestly havent felt much benefit form eating seeds terms strength endurance etc helped cleaning system keeping health mind love ritual mixing something healthy natural juices love texture,1,1
7460,almond rice pops healthy snack cubes points weight watchers feel like cheating oven baked natural extremely tasty biggest problem hard find almond pops blueberry used sold costco longer cant find anywherei order often volume friends like share orders themexpensive snack well worth,1,1
19025,great size bag price making funfetti cake purple sprnklesjimmies exactly wanted although color could darker,1,1
17554,product says contains kava kava help calm tea kava confirmed tea box set well yogi tea website thought would make anyone else aware case looking little supplemental kava tea dont want yogi tea kava,0,1
9120,amazon buy one get one free since favorite could resist great purchase,1,1
16422,love coffee bought also bought another brand price around two boxes brand thought pretty good deal although sometimes find target arrived discovered paid one box breakfast blend complete ripoff even directly keurig cheaper never buy,0,1
16061,ive buying nong shim spicy chicken noodle bowls year really great want something warm quick like flavor packet add much little want flavor also good something instant noodle tried brands instant noodles dont taste ones bland good continue buy noodle bowls occasion need something quick easy,1,1
10121,taste great dont cook way tiny bits pork rinds stay crunchy hard loveits reminiscent porchetta skini keep case work one home way quick snack office nice substitute popcorn home honestly taste better popcorn ive ever ketogenic diet must,1,1
19056,bought jimmies couldnt find needed orange color local stores pound jimmies lot went expected probably half bag thoroughly coat recipe chocolate truffles taste well jimmytaste disappointmentsurprise short jimmies twothirds length wilton cakemate brands cupboardif need special color ck makes dont hesitate get debbie lee wesselmann,1,1
3942,love coffee sure happened price lately used get exact product average dollars price skyrocketed hesitant buy product price,1,1
17881,unfortunately disappointed chocolatetoo heavily spiced sweet enough velvety smooth pure chocolate prefer tins give away friends family ill back let know like,0,1
12631,started buying meat diets vets recommendation getting big fatty lose weight catkins diet cats obligate carnivores feeding foods contain rice lots vegetables really isnt line bodies evolved vet recommended grain wysong cats clearly told like grain much better lap become healthier weight fat one lost small one gained tummy problems ever since switched friskies onto thismy understanding cats need vitamins since get semidigested vegetables guts prey mix wysong call wild meatsurprisingly love quail far chicken bit turkey understanding cats naturally eat small fowl rodents quail actually closest actually eat wild,1,1
11444,purchased pretzels make chocolate covered wedding favors guests pretzels would bad anything else way many broken ones would buy five barrels complaint shipped back month ago still havent received refund,0,0
13836,dog loves treats yorkie right size let friend give dog loved also,1,1
3435,ordered product good price deal amazon shipped accordingly absolutely problems however taste product horrendous tasted someone chemicals cup told brew personally go back buying swiss miss using keurig give hot water cheaper much better tasting,0,0
18740,good product theory oatmeal flavorless fruits ok contained hard chunks would soften even reheating extra minuteseriously worth buying recommend black bean soup kicks ass,0,1
17408,slips easily bag great snack ontherun aware contains two servings plan accordingly love auto ship gets cheaper longer stay good deal,1,1
10407,wife became spoiled fall trip taste light maple syrup available south happy find amazoncom hidden springs high quality fast shipping thank,1,1
6518,excellent babys first taste pouch size perfect actually lasted two days baby still learning eat solids therefore didnt top makes easy refasten doesnt go waste used love pouch easy get product wihtout making mess,1,1
972,used pioneer gravy number years easy make tastes great also goes well mashed potatoes meats etc try,1,1
16488,first revolution tea flavor ever tried made fall love brand tried half revolution teas line id rate favorites order acai green tropical green chocolate orange green white pear sweet ginger peach im green white tea fan though experience may differ,1,1
19731,make lot baby food make meat baby food buying different purees tried chick chick fussy month old loved instantly dont know flavor texture nice small bits gobbles worth price especially subscribe save pleased getting high quality protein meal dont puree chicken,1,1
13138,wife coffee drinker family longtime fanatic bean days keeps large folgers french roast medium dark fridge takes foray premium blends regular basis treat got melitta classique supreme trial yummy sounds could heard throughout house even fuller richer robust exact words great stocking stuffer least dont surprised becomes favorite,1,1
3670,bought local grocery store wish would read review first positive hold together well look like muffin negative bitter could barely finish half recently found celiac disease cant gluten never tried gluten free muffin mix compare others tried betty crocker gluten free brownie mix wonderful believe would good muffin mix,0,1
15984,emerald dry roasted walnuts delicious treat enjoy guests coming cocktails always get excited comments guests dont know local retailers carry supply stores however convienent order line delivered door step try guests youself appreciate thoughtfulness effort,1,1
4059,bake im rarely impressed store bought cookies one thoughdivine divine dont like heavy chocolate dark chocolate like little chocolate cookie right amount pastry raspberry chocolate light like madeleine,1,0
